"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","8/28/2023"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.8.0","3217","8"

"Study","1"
"Study Name","053022BaSH"
"Owner User Name","Corey"
"Granting Institution",""
"Study Date","6/2/2022"
"Study Time","8:31:13 AM"
"Study Notes",""


"Series Name","Series 30"
"Acquired By","Sheraz Pasha"
"Series Date","6/3/2022"
"Series Time","9:02:51 AM"
"Animal ID","M00698786"
"Sex","female"
"Pregnant","no"
"Series Notes",""
"Application","Cardiology"
"Measurement Package","Cardiac Package"
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_GenericPackage.sxml"
"Measurement Version","0"
"Measurement Description","Generic Package"

,,,
"Measurement","Mode","Parameter","Units","Value"
"MAutoLV 32","M-Mode","Heart Rate","BPM","444.675017",
"MAutoLV 32","M-Mode","Temperature","C","37.383948",
"MAutoLV 32","M-Mode","Diameter;s","mm","3.304765",
"MAutoLV 32","M-Mode","Diameter;d","mm","4.004096",
"MAutoLV 32","M-Mode","Volume;s","uL","44.303983",
"MAutoLV 32","M-Mode","Volume;d","uL","70.175067",
"MAutoLV 32","M-Mode","Stroke Volume","uL","25.871084",
"MAutoLV 32","M-Mode","Ejection Fraction","%","36.866490",
"MAutoLV 32","M-Mode","Fractional Shortening","%","17.465392",
"MAutoLV 32","M-Mode","Cardiac Output","mL/min","11.504225",

"Measurement File","VSI_CardiacPackage.sxml"
"Measurement Version","5"
"Measurement Description","Cardiac Package"

"Protocol Name","SAX M-Mode"
,,,
"Measurement","Mode","Parameter","Units","Avg","STD","Instance 1","Instance 2"
"LVAW;d","M-Mode","Depth","mm","0.844186","0.000000","0.844186","0.844186",
"LVAW;s","M-Mode","Depth","mm","1.087209","5.426633E-02","1.125581","1.048837",
"LVID;d","M-Mode","Depth","mm","4.093023","3.617756E-02","4.118605","4.067442",
"LVID;s","M-Mode","Depth","mm","3.402326","0.000000","3.402326","3.402326",
"LVPW;d","M-Mode","Depth","mm","0.652326","0.018089","0.639535","0.665116",
"LVPW;s","M-Mode","Depth","mm","0.818605","0.000000","0.818605","0.818605",



"Series Name","Series 29"
"Acquired By","Sheraz Pasha"
"Series Date","6/3/2022"
"Series Time","8:56:54 AM"
"Animal ID","M00699632"
"Sex","male"
"Series Notes",""
"Application","Cardiology"
"Measurement Package","Cardiac Package"
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_GenericPackage.sxml"
"Measurement Version","0"
"Measurement Description","Generic Package"
